seq_len,sequential_scan_torch,sequential_scan_triton,associative_scan_triton
32.000000,0.725504,0.016384,0.019456
64.000000,1.731072,0.025600,0.033792
128.000000,3.726336,0.040960,0.055296
256.000000,7.872000,0.070656,0.091136
512.000000,15.959040,0.130048,0.155648
1024.000000,32.054272,0.247808,0.284672
2048.000000,65.090561,0.483328,0.549888
4096.000000,130.359299,0.953344,1.064960
8192.000000,260.089844,1.896448,2.098176
16384.000000,520.598511,3.779584,4.147200
32768.000000,1319.499756,7.549952,8.244224
65536.000000,2637.355957,15.095808,16.465919
